Алгоритм;СКО, град;err2;$P_{fail}$;CDF = 0.9, град;err5;CDF = 0.8, град;err7;CDF = 0.5, град;err9
Baseline (hSearch);3.79;0\%;0.32;102.51;0\%;67.90;0\%;3.11;0\%
AuxBeam;3.77;-0.5\%;0.32;101.90;-0.6\%;68.24;0.5\%;2.64;-15.0\%
hSearchMMSE2;4.04;6.7\%;0.32;103.48;0.9\%;68.01;0.2\%;1.68;-45,8%
hSearchMMSE4;3.96;4.6\%;0.32;103.91;1.4\%;67.38;-0.8\%;1.36;-56,3%
Compressive;7.74;104.4\%;0.87;161.31;57.4\%;143.74;111.7\%;90.99;2829.8%
