Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;4.37;0.01;9.16;4.92;0.46
hSearchMMSE4;1.89;0.00;1.86;0.77;0.25
Compressive;4.88;0.03;12.31;5.05;0.56
