Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;4.32;0.01;10.10;7.03;3.38
hSearchMMSE4;4.28;0.01;10.52;6.93;2.84
ACS;5.22;0.09;22.44;13.36;6.98
