Алгоритм;СКО, град;err2;$P_{fail}$;CDF = 0.9, град;err5;CDF = 0.8, град;err7;CDF = 0.5, град;err9
Baseline (hSearch);1.58;0\%;0.03;2.29;0\%;1.50;0\%;0.91;0\%
AuxBeam;1.28;-18.9\%;0.03;0.47;-79.3\%;0.21;-85.7\%;0.05;-94.6\%
hSearchMMSE4;1.28;-19.2\%;0.03;0.43;-81.2\%;0.20;-86.7\%;0.05;-94.5\%
Compressive;1.33;-16.2\%;0.05;1.10;-52.1\%;0.58;-61.6\%;0.31;-66.0\%
