Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;2.41;0.01;5.58;4.23;0.68
hSearchMMSE4;2.63;0.00;6.37;4.52;1.72
ACS;4.94;0.02;12.71;9.14;5.15
