Алгоритм;СКО, град;err2;$P_{fail}$;CDF = 0.9, град;err5;CDF = 0.8, град;err7;CDF = 0.5, град;err9
Baseline (hSearch);1.44;0\%;0.13;108.44;0\%;3.61;0\%;24.44;0\%
AuxBeam;1.73;20.2\%;0.13;109.09;0.6\%;3.19;-11.5\%;15.49;-29.8\%
hSearchMMSE4;1.32;-7.8\%;0.13;108.65;0.2\%;3.03;-16.1\%;23.06;-32.4\%
Compressive;1.28;-10.9\%;0.13;109.12;0.6\%;3.19;-11.6\%;3.93;-27.3\%
