Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;3.15;0.07;8.82;2.76;0,39
hSearchMMSE4;1.81;0.05;1.57;0.76;0.28
Compressive;1.97;0.12;55.14;2.14;0.77
