Алгоритм;СКО, град;err2;$P_{fail}$;CDF = 0.9, град;err5;CDF = 0.8, град;err7;CDF = 0.5, град;err9
Baseline (hSearch);6.83;0\%;0.48;53.20;0\%;36.63;0\%;24.44;0\%
AuxBeam;7.54;10.4\%;0.33;58.18;9.4\%;30.79;-16\%;15.49;-37\%
hSearchMMSE4;6.33;-7.3\%;0.46;53.33;0.2\%;36.33;-1\%;23.06;-6\%
Compressive;4.38;-36\%;0.10;30.79;-42.1\%;9.93;-73\%;3.93;-84\%
