Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
hSearchMMSE;0.31;< 0.001;0.60;0.38;0,11
AuxBeam;0.31;< 0.001;0.61;0.41;0.11
Compressive;0,68;< 0.001;0,97;0.69;0.36
