Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;4.81;0.01;12.84;10,25;4.78
hSearchMMSE4;5.05;0.02;13.33;9.16;3.41
Compressive;5.43;0.08;21.78;10.06;5.21
