Алгоритм;СКО, град;$P_{fail}$;CDF = 0.9, град;CDF = 0.8, град;CDF = 0.5, град
AuxBeam;1.65;0.09;6.01;2.67;0.80
hSearchMMSE4;1.25;0.06;3.75;2.33;0.74
Compressive;1.41;0.06;4.12;2.44;0.83
